nameofregion,vtor,perv,vibitie,vvedenie,zelen,commserv,income,vrp,rozhdaemost,sqmetr
1,57481,70467,61,1165,18661,18,37789,881701,8,52353
2,38537,49173,33,452,8506,18,33105,398619,8,35457
3,56314,49594,349,829,21370,18,29603,552811,7,34930
4,56473,64841,87,1864,30455,18,36687,546329,8,47351
5,44300,50304,15,363,6899,22,29967,306145,7,30276
6,57008,61458,13,862,12420,13,36624,659591,8,46839
7,48317,57851,67,335,6375,18,29764,386695,8,36872
8,57983,59869,295,566,8990,14,34521,627321,8,37199
9,57230,55570,46,1235,9512,18,36568,752926,8,43122
10,91089,122493,2114,9215,64278,33,57353,882876,9,54036
11,49221,60150,18,308,4058,12,31368,468019,7,38704
12,56526,61571,115,757,10909,19,32165,487276,8,45304
13,38745,52916,50,483,12780,15,32234,460597,7,33640
14,44551,46560,77,766,5541,13,31472,434613,7,34336
15,63048,59607,64,597,15987,16,32303,448418,7,35179
16,73986,68435,51,836,6308,20,33482,602298,7,50970
17,71640,59128,57,760,9940,21,35128,559180,8,39045
18,233894,279344,194,7807,123099,32,95149,1935205,10,78636
19,62448,59254,60,325,11201,23,37080,1059960,8,43978
20,54055,61535,136,179,28906,19,40978,941763,9,41621
21,74866,84675,279,440,31769,28,40919,881816,8,48245
22,48693,56998,110,639,7299,18,33276,659727,9,41623
23,73131,74921,1622,1271,12085,14,34000,778692,9,40829
24,63298,108001,1500,3386,36792,25,38968,1487364,7,51722
25,45376,52322,43,308,4028,23,30956,580495,8,32600
26,46076,46434,405,315,5749,15,31055,356595,8,37579
27,154431,168547,102,3464,41256,30,62251,1754423,10,63747
28,62898,71069,1,307,2007,17,37630,366702,9,40125
29,46618,41517,103,122,1933,10,22330,371956,10,33916
30,75211,83380,378,743,7992,18,28462,308848,9,50659
31,72987,80418,752,6283,18983,19,45777,562926,10,43829
32,49620,71300,348,543,2179,14,28025,661245,10,33112
33,47412,55429,392,797,30611,21,29260,427069,8,43385
34,58482,65442,52,2686,41004,22,37335,483970,8,45430
35,55174,35412,5,1031,5775,13,32726,259076,14,24347
36,38866,42776,13,112,539,6,19501,148587,16,30325
37,58284,31921,17,514,3777,10,27143,229153,11,33703
38,52553,42745,2,235,2575,13,21558,235355,10,33769
39,49157,41185,423,322,14494,11,27093,293366,11,35581
40,53478,48256,116,1025,4377,10,28006,177860,19,29453
41,45796,45368,353,1479,44418,14,27093,367687,9,33084
42,67047,76518,221,2906,101725,21,34110,499045,10,45548
43,43430,50030,119,372,3325,16,24157,329660,9,38197
44,45579,46549,38,341,5388,20,23695,384636,7,39806
45,92033,97259,32,3012,38845,22,41945,888039,10,52336
46,57702,63628,35,841,18953,21,29050,565472,9,40083
47,52103,58774,163,717,14068,17,25050,326607,9,36801
48,63533,70313,71,1317,94186,23,34338,677760,10,39694
49,50655,57607,578,509,15898,19,27827,387458,8,31076
50,85417,88973,273,1591,59825,30,39212,597431,8,63973
51,39724,43663,59,1102,17360,23,27408,721025,9,33319
52,51278,58396,100,856,24640,18,26813,418946,7,39611
53,54678,60354,63,1803,52395,24,34279,675335,8,35445
54,46631,47650,18,1181,20029,14,27473,422955,8,35688
55,50745,58303,34,858,7001,21,28041,411847,8,36420
56,42637,45401,190,281,20616,16,24382,330642,9,33285
57,75985,87183,635,2888,141202,24,42507,710381,10,59971
58,66822,75417,270,2777,151326,25,55129,2992775,12,53009
59,42691,53614,270,1727,63272,18,30895,595385,10,36185
